time_iso8601,forks_cumulative
2021-10-28 00:00:00+00:00,2
2021-12-07 00:00:00+00:00,3
2022-01-15 00:00:00+00:00,5
2022-01-24 00:00:00+00:00,6
2022-01-26 00:00:00+00:00,7
2022-01-27 00:00:00+00:00,8
2022-02-01 00:00:00+00:00,9
2022-02-09 00:00:00+00:00,10
2022-02-27 00:00:00+00:00,11
2022-03-27 00:00:00+00:00,12
2022-04-17 00:00:00+00:00,13
2022-05-21 00:00:00+00:00,14
2022-09-16 00:00:00+00:00,15
2022-10-18 00:00:00+00:00,16
2022-12-02 00:00:00+00:00,17
2022-12-17 00:00:00+00:00,18
2023-02-14 00:00:00+00:00,19
2023-03-27 00:00:00+00:00,20
2023-04-03 00:00:00+00:00,21
2023-04-05 00:00:00+00:00,22
2023-04-11 00:00:00+00:00,23
2023-04-27 00:00:00+00:00,25
2023-05-21 00:00:00+00:00,26
2023-05-23 00:00:00+00:00,27
2023-06-03 00:00:00+00:00,28
2023-06-22 00:00:00+00:00,29
2023-07-07 00:00:00+00:00,30
2023-08-07 00:00:00+00:00,31
2023-08-16 00:00:00+00:00,32
2023-08-17 00:00:00+00:00,33
2023-08-18 00:00:00+00:00,34
2023-08-21 00:00:00+00:00,35
2023-09-07 00:00:00+00:00,36
2023-09-25 00:00:00+00:00,37
2023-10-01 00:00:00+00:00,38
2023-10-03 00:00:00+00:00,39
2023-10-05 00:00:00+00:00,40
2023-10-14 00:00:00+00:00,41
2023-10-15 00:00:00+00:00,43
2023-11-01 00:00:00+00:00,44
2023-11-14 00:00:00+00:00,45
2023-11-17 00:00:00+00:00,46
2023-11-21 00:00:00+00:00,47
2023-12-30 00:00:00+00:00,48
2024-01-04 00:00:00+00:00,49
2024-01-13 00:00:00+00:00,50
2024-01-19 00:00:00+00:00,51
2024-01-20 00:00:00+00:00,52
2024-02-12 00:00:00+00:00,53
2024-04-10 00:00:00+00:00,54
2024-04-21 00:00:00+00:00,55
2024-05-11 00:00:00+00:00,56
2024-05-13 00:00:00+00:00,57
2024-05-15 00:00:00+00:00,58
2024-05-18 00:00:00+00:00,59
2024-07-07 00:00:00+00:00,60
2024-08-03 00:00:00+00:00,61
2024-08-28 00:00:00+00:00,62
2024-08-29 00:00:00+00:00,63
2024-09-11 00:00:00+00:00,64
2024-10-07 00:00:00+00:00,65
2024-10-11 00:00:00+00:00,66
2024-10-21 00:00:00+00:00,67
2024-11-13 00:00:00+00:00,68
2024-12-15 00:00:00+00:00,69
2025-01-19 00:00:00+00:00,70
2025-02-03 00:00:00+00:00,71
2025-03-12 00:00:00+00:00,72
2025-03-24 00:00:00+00:00,73
2025-03-28 00:00:00+00:00,74
2025-04-07 00:00:00+00:00,75
