time_iso8601,forks_cumulative
2021-10-09 00:00:00+00:00,1
2021-10-16 00:00:00+00:00,2
2021-11-10 00:00:00+00:00,3
2022-04-30 00:00:00+00:00,4
2022-06-21 00:00:00+00:00,5
2022-06-22 00:00:00+00:00,6
2022-06-26 00:00:00+00:00,7
2022-10-31 00:00:00+00:00,8
2022-11-04 00:00:00+00:00,9
2022-12-09 00:00:00+00:00,10
2023-01-30 00:00:00+00:00,11
2023-06-13 00:00:00+00:00,12
2023-10-15 00:00:00+00:00,14
2023-12-01 00:00:00+00:00,15
2024-01-19 00:00:00+00:00,16
2024-11-06 00:00:00+00:00,17
2024-12-26 00:00:00+00:00,18
2025-01-19 00:00:00+00:00,19
2025-03-09 00:00:00+00:00,20
