time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-15 00:00:00+00:00,2,2,33,6
2025-12-16 00:00:00+00:00,0,0,14,6
2025-12-17 00:00:00+00:00,1,1,8,7
2025-12-18 00:00:00+00:00,4,4,6,5
2025-12-19 00:00:00+00:00,7,1,2,2
2025-12-20 00:00:00+00:00,4,2,5,5
2025-12-21 00:00:00+00:00,19,5,14,8
2025-12-22 00:00:00+00:00,16,2,57,7
2025-12-23 00:00:00+00:00,15,3,13,7
2025-12-24 00:00:00+00:00,27,8,21,11
2025-12-25 00:00:00+00:00,2,2,41,8
2025-12-26 00:00:00+00:00,100,28,80,9
2025-12-27 00:00:00+00:00,56,21,34,12
2025-12-28 00:00:00+00:00,5,1,31,8
