time_iso8601,stars_cumulative
2021-08-22 00:00:00+00:00,1
2021-09-27 00:00:00+00:00,2
2021-10-01 00:00:00+00:00,3
2021-10-02 00:00:00+00:00,11
2021-10-03 00:00:00+00:00,12
2021-10-04 00:00:00+00:00,18
2021-10-05 00:00:00+00:00,34
2021-10-06 00:00:00+00:00,35
2021-10-09 00:00:00+00:00,36
2021-10-10 00:00:00+00:00,40
2021-10-11 00:00:00+00:00,42
2021-10-16 00:00:00+00:00,43
2021-10-21 00:00:00+00:00,44
2021-10-23 00:00:00+00:00,45
2021-11-06 00:00:00+00:00,46
2021-11-23 00:00:00+00:00,47
2021-12-04 00:00:00+00:00,48
2021-12-05 00:00:00+00:00,50
2021-12-06 00:00:00+00:00,52
2021-12-07 00:00:00+00:00,53
2021-12-11 00:00:00+00:00,54
2021-12-16 00:00:00+00:00,55
2021-12-27 00:00:00+00:00,56
2021-12-29 00:00:00+00:00,57
2022-01-17 00:00:00+00:00,58
2022-01-21 00:00:00+00:00,59
2022-01-26 00:00:00+00:00,60
2022-02-01 00:00:00+00:00,61
2022-02-03 00:00:00+00:00,63
2022-02-06 00:00:00+00:00,64
2022-02-07 00:00:00+00:00,65
2022-02-10 00:00:00+00:00,66
2022-02-12 00:00:00+00:00,67
2022-02-14 00:00:00+00:00,68
2022-02-18 00:00:00+00:00,69
2022-02-21 00:00:00+00:00,70
2022-03-09 00:00:00+00:00,71
2022-03-11 00:00:00+00:00,72
2022-03-17 00:00:00+00:00,73
2022-04-01 00:00:00+00:00,74
2022-04-02 00:00:00+00:00,75
2022-04-04 00:00:00+00:00,76
2022-04-10 00:00:00+00:00,77
2022-04-15 00:00:00+00:00,81
2022-04-16 00:00:00+00:00,93
2022-04-19 00:00:00+00:00,94
2022-04-20 00:00:00+00:00,95
2022-04-23 00:00:00+00:00,96
2022-04-26 00:00:00+00:00,97
2022-05-01 00:00:00+00:00,98
2022-05-03 00:00:00+00:00,99
2022-05-08 00:00:00+00:00,100
2022-05-16 00:00:00+00:00,105
2022-05-17 00:00:00+00:00,116
2022-05-18 00:00:00+00:00,122
2022-05-19 00:00:00+00:00,123
2022-05-21 00:00:00+00:00,125
2022-05-24 00:00:00+00:00,131
2022-05-26 00:00:00+00:00,132
2022-06-01 00:00:00+00:00,133
2022-06-02 00:00:00+00:00,134
2022-06-15 00:00:00+00:00,135
2022-06-27 00:00:00+00:00,137
2022-06-28 00:00:00+00:00,140
2022-07-07 00:00:00+00:00,142
2022-07-08 00:00:00+00:00,143
2022-07-09 00:00:00+00:00,144
2022-07-19 00:00:00+00:00,147
2022-07-25 00:00:00+00:00,148
2022-08-04 00:00:00+00:00,149
2022-08-12 00:00:00+00:00,150
2022-08-17 00:00:00+00:00,151
2022-08-27 00:00:00+00:00,152
2022-09-09 00:00:00+00:00,153
2022-10-02 00:00:00+00:00,154
2022-10-03 00:00:00+00:00,155
2022-10-04 00:00:00+00:00,156
2022-10-06 00:00:00+00:00,157
2022-10-09 00:00:00+00:00,158
