time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-25 00:00:00+00:00,0,0,1,1
2024-03-27 00:00:00+00:00,1,1,0,0
2024-03-28 00:00:00+00:00,2,2,2,2
2024-03-30 00:00:00+00:00,0,0,1,1
2024-03-31 00:00:00+00:00,30,11,55,4
2024-04-01 00:00:00+00:00,2,2,1,1
2024-04-02 00:00:00+00:00,3,2,3,2
2024-04-03 00:00:00+00:00,3,2,0,0
2024-04-04 00:00:00+00:00,2,1,1,1
2024-04-05 00:00:00+00:00,3,2,0,0
2024-04-06 00:00:00+00:00,4,3,0,0
2024-04-08 00:00:00+00:00,1,1,0,0
2024-04-09 00:00:00+00:00,0,0,3,1
2024-04-10 00:00:00+00:00,0,0,4,2
2024-04-11 00:00:00+00:00,0,0,1,1
2024-04-12 00:00:00+00:00,18,5,53,2
2024-04-13 00:00:00+00:00,6,5,22,4
2024-04-14 00:00:00+00:00,2,2,0,0
2024-04-15 00:00:00+00:00,11,4,29,1
2024-04-16 00:00:00+00:00,11,8,31,4
2024-04-17 00:00:00+00:00,5,4,4,2
2024-04-18 00:00:00+00:00,0,0,9,1
2024-04-19 00:00:00+00:00,1,1,0,0
2024-04-20 00:00:00+00:00,0,0,1,1
2024-04-21 00:00:00+00:00,1,1,0,0
2024-04-22 00:00:00+00:00,0,0,1,1
2024-04-23 00:00:00+00:00,2,1,2,2
2024-04-24 00:00:00+00:00,0,0,1,1
2024-04-28 00:00:00+00:00,0,0,2,2
2024-04-29 00:00:00+00:00,0,0,13,1
2024-05-01 00:00:00+00:00,0,0,4,1
2024-05-02 00:00:00+00:00,1,1,1,1
2024-05-03 00:00:00+00:00,0,0,1,1
2024-05-05 00:00:00+00:00,0,0,1,1
2024-05-06 00:00:00+00:00,1,1,4,1
2024-05-08 00:00:00+00:00,0,0,2,2
2024-05-09 00:00:00+00:00,0,0,20,2
2024-05-10 00:00:00+00:00,0,0,15,1
2024-05-13 00:00:00+00:00,0,0,6,2
2024-05-15 00:00:00+00:00,1,1,0,0
2024-05-16 00:00:00+00:00,0,0,1,1
2024-05-17 00:00:00+00:00,2,2,2,2
2024-05-18 00:00:00+00:00,0,0,1,1
2024-05-19 00:00:00+00:00,0,0,1,1
2024-05-21 00:00:00+00:00,0,0,29,2
2024-05-22 00:00:00+00:00,0,0,4,3
2024-05-23 00:00:00+00:00,0,0,10,3
2024-05-24 00:00:00+00:00,0,0,1,1
2024-05-25 00:00:00+00:00,1,1,1,1
